时间 t (s),浮子位移 x1 (m),振子位移 x2 (m),浮子速度 v1 (m/s),振子速度 v2 (m/s)
29.200000000000003,-0.413078033,-0.437867042,-0.273804117,-0.308352181
29.400000000000002,-0.450778719,-0.481383781,-0.097948617,-0.120832398
29.6,-0.450697335,-0.484378319,0.10116681119323861,0.0938776962403629
29.8,-0.410014793,-0.443323326,0.30470905348604727,0.3160511368123546
30,-0.329846277,-0.359100009,0.49271607150787233,0.5212224144710468
30.200000000000003,-0.215321937,-0.23751881,0.6448562506514293,0.686344921332848
30.400000000000002,-0.075572616,-0.088383349,0.7421644566022207,0.7942447493510082
30.6,0.07698462137508154,0.07544582535245577,0.7713525996400556,0.8312909515011063
30.8,0.2280406167986121,0.23879959162975273,0.7268716925693707,0.7886447804686427
31,0.3629361170772519,0.3855661787521735,0.6106682966225611,0.6662892912776703
31.200000000000003,0.46811448443803705,0.5006581844575714,0.43179932960329104,0.47434203913686823
31.400000000000002,0.5325289241409715,0.5718572375879402,0.20622575267801474,0.23087335999639302
31.6,0.5489323265155,0.5911104568774305,-0.044317005,-0.040962425
31.8,0.514806057021255,0.5553253368712914,-0.294916441,-0.314651848
32,0.4325588688395567,0.4671923512803644,-0.521579033,-0.559562364
32.2,0.3093434439814724,0.3350446881562332,-0.700836702,-0.751561327
32.4,0.1567097425986282,0.17121358509042087,-0.813106623,-0.873974585
32.6,-0.010660927,-0.009050821,-0.847111258,-0.914188409
32.800000000000004,-0.176749382,-0.188557349,-0.800588192,-0.866213802
33,-0.32587572,-0.349942079,-0.678986769,-0.734676392
33.2,-0.444150246,-0.477828002,-0.494693945,-0.534354357
33.4,-0.520809555,-0.560512971,-0.266404081,-0.286574524
33.6,-0.549325577,-0.590933368,-0.017386434,-0.015946585
33.800000000000004,-0.528029178,-0.56714674,0.22781233862362082,0.25058930785992306
34,-0.459953507,-0.492887541,0.4467315545886069,0.484657110703642
34.2,-0.352498536,-0.376780449,0.6184035246334487,0.6664884285885609
34.4,-0.216808694,-0.230658739,0.7271214568916635,0.7829220931181244
34.6,-0.066357079,-0.068601603,0.765496146662515,0.8247342917992987
34.800000000000004,0.08471499795577368,0.09407257939799923,0.7339473453713685,0.7894479999848102
35,0.22298397084520458,0.242483046134367,0.6390032737630906,0.6840080648446902
35.2,0.33686343911291794,0.3639676981941315,0.4924197753198042,0.52307057813225
35.4,0.417583272106257,0.4492480115937775,0.31040126774183957,0.3252211983608457
35.6,0.4599216318649911,0.4929174719591067,0.11185941071140486,0.11027557515030165
35.800000000000004,0.46249011962979264,0.4935752142625843,-0.084372736,-0.101288325
36,0.42742236622710644,0.45399686990276583,-0.261903575,-0.289213589
36.2,0.35994471300054126,0.38037494337047434,-0.406338655,-0.44003391
36.4,0.2677865956183446,0.2810094805910385,-0.50748471,-0.545543752
36.6,0.1601382303792912,0.16553295769173765,-0.560992376,-0.600564368
36.800000000000004,0.04652279910000358,0.04422268985879785,-0.567614878,-0.604207232
37,-0.064060472,-0.073039201,-0.531614329,-0.561340934
37.2,-0.163735513,-0.177825336,-0.459875565,-0.481194298
37.4,-0.24622532,-0.263747382,-0.361395614,-0.374487871
37.6,-0.307186227,-0.326545148,-0.246291088,-0.251629627
37.800000000000004,-0.344290635,-0.36397391,-0.124369913,-0.122364957
38,-0.357033076,-0.375686024,-0.003867723,0.004019911950271897
38.2,-0.346367093,-0.363077479,0.1087281461447385,0.11986257126613475
38.400000000000006,-0.314426077,-0.328729776,0.20811501618203213,0.22093681309770058
38.6,-0.264252675,-0.275840913,0.29059143522841624,0.30493930111568057
38.800000000000004,-0.199448583,-0.208026113,0.3542165098737669,0.3698732486906165
39,-0.12388398,-0.129269724,0.3980729769002951,0.41417729970310946
39.2,-0.041590527,-0.04376529,0.4213564750629245,0.4373508179863237
39.400000000000006,0.04322624568720271,0.044266295267231213,0.4231632172758933,0.43943718869729864
39.6,0.12619719201241514,0.1305731815090032,0.40282212998014594,0.41995354091192144
39.800000000000004,0.20286315876199548,0.21073764959644428,0.36011624043456564,0.3778368760159452
40,0.26876826625842465,0.28015808587207025,0.29530300731520664,0.31252318809153856
40.2,0.31957462273157783,0.3342546125325573,0.20939156784605803,0.22487717374176555
40.400000000000006,0.3512750005875231,0.36877989418058776,0.10480054683862751,0.11734612198897004
40.6,0.3605386914524537,0.3801331612609477,-0.014060789,-0.006016525
40.800000000000004,0.34512949501124285,0.36571626891308623,-0.14067813,-0.13915513
41,0.3043027827017378,0.32437366995129063,-0.266744385,-0.273624866
41.2,0.23908820971272643,0.2569266687269565,-0.38291557,-0.398212724
41.400000000000006,0.15248930837658425,0.1665055257722981,-0.47878746,-0.501594258
41.6,0.04963228399588019,0.05837663999807468,-0.543836539,-0.573680375
41.800000000000004,-0.062401515,-0.060258981,-0.569335354,-0.605207269
42,-0.175081887,-0.18049831,-0.549653853,-0.588757768
42.2,-0.279107436,-0.292331271,-0.482773638,-0.521033071
42.400000000000006,-0.365171989,-0.38562142,-0.370760104,-0.404125834
42.6,-0.424836197,-0.451171408,-0.220273388,-0.2452071
42.800000000000004,-0.451454729,-0.481661487,-0.042511241,-0.055770939
43,-0.441006671,-0.472450794,0.1476827156246707,0.14901974142466387
43.2,-0.392673026,-0.422253412,0.33355644514560806,0.35059949469792884
43.400000000000006,-0.308988164,-0.333840354,0.4983379976827272,0.5279405226107137
43.6,-0.195882666,-0.213812887,0.625037622701293,0.664371269630587
43.800000000000004,-0.062479003,-0.07168235,0.6993450943426877,0.7470046635065962
44,0.07976570392971859,0.08069588889972323,0.7125154780350014,0.765409265133278
44.2,0.21826387104465722,0.22982226132093236,0.6619226025033591,0.7142094476914786
44.400000000000006,0.3404735947724864,0.3618950053610432,0.5506003222505216,0.596001965102403
44.6,0.4350210374255049,0.4644268550012036,0.38722177054729934,0.42102751274306605
44.800000000000004,0.49282689780521294,0.5275556289825035,0.1859612531543267,0.20491199450308104
45,0.5081082072019143,0.5449209926772863,-0.034681385,-0.033193604
45.2,0.47903732912097696,0.5142531135004025,-0.254181734,-0.271400624
45.400000000000006,0.40781406649637725,0.4380289968446399,-0.452980123,-0.484865968
45.6,0.30050401815745154,0.32325976520516614,-0.612002943,-0.654233061
45.800000000000004,0.16674020465201286,0.1801862207319815,-0.715347357,-0.765922052
46,0.018718752373476977,0.021444310378994337,-0.753625865,-0.809476458
46.2,-0.13020142,-0.138685822,-0.724467688,-0.779549282
46.400000000000006,-0.266800751,-0.285656542,-0.631476324,-0.679118071
46.6,-0.37912751,-0.406355639,-0.483693833,-0.519194794
46.800000000000004,-0.457561106,-0.490442654,-0.295288403,-0.315982
47,-0.495736099,-0.531125122,-0.084343067,-0.088464446
47.2,-0.491119427,-0.525571164,0.1293724303651492,0.1427356932885731
47.400000000000006,-0.445028656,-0.475331507,0.3274620912699841,0.35468598909959
47.6,-0.362332242,-0.38621315,0.4926773241240435,0.5291102056448567
47.800000000000004,-0.251126906,-0.266996312,0.6105593403516452,0.6539842340474491
48,-0.121858901,-0.128520751,0.6724018492166302,0.7204607377084304
48.2,0.01392415306285881,0.016951295664050348,0.6757628706668479,0.7236271205471856
48.400000000000006,0.14471100354825703,0.15681377737837926,0.6232307214542433,0.6652872308079845
48.6,0.25993253628765495,0.27952899728082425,0.5215720126265924,0.5540255129330655
48.800000000000004,0.3507667838827479,0.37574188781372725,0.381423829928801,0.4025846113242992
49,0.41084429031729397,0.4388504124427015,0.21645577018796208,0.2254812561047561
49.2,0.4366992415970626,0.465240086867869,0.04172571026029,0.03796489200077975
49.400000000000006,0.42784136991733523,0.45442513287004965,-0.128471136,-0.143725864
49.6,0.38645666226736547,0.40916407558297363,-0.281514644,-0.304405921
49.800000000000004,0.3171364956556557,0.33473381303451266,-0.406152343,-0.434124988
50,0.22643994314968616,0.238024580652045,-0.494275759,-0.526230352
50.2,0.12212823761575113,0.1270808088340964,-0.541986897,-0.575855266
50.400000000000006,0.012369211659836489,0.010640514998914843,-0.54891475,-0.58126888
50.6,-0.094853534,-0.102648661,-0.517150218,-0.545124316
50.800000000000004,-0.192188443,-0.205031668,-0.450921263,-0.473352854
51,-0.273340857,-0.290093733,-0.356526221,-0.373148529
51.2,-0.333439356,-0.352899045,-0.241753052,-0.252085067
51.400000000000006,-0.369237236,-0.390079618,-0.114898302,-0.118320837
51.6,-0.379133626,-0.399959993,0.015951774206325924,0.019449757005450007
51.800000000000004,-0.363090358,-0.382629125,0.1432941035847246,0.1523498141738932
52,-0.322534154,-0.339842931,0.2598722863382033,0.27297781088208795
52.2,-0.260322743,-0.274623204,0.3587776682411462,0.37582456792978447
52.400000000000006,-0.180580025,-0.191053357,0.43438320106632,0.4555600246482256
52.6,-0.088398729,-0.094296595,0.4825837010197872,0.5068890126529821
52.800000000000004,0.010423355907490238,0.009550570628489005,0.5003635921285404,0.526025246746586
53,0.10958281375276284,0.11386122939980477,0.4857384566484306,0.5114315018636763
53.2,0.20252856176524567,0.21187901555138944,0.43833428564293486,0.46320994282941985
53.400000000000006,0.2828426355489476,0.29698716821089455,0.35989408437789117,0.38267665664314787
53.6,0.3446697061553437,0.3629983698864336,0.25426885135258304,0.27296244406960235
53.800000000000004,0.383116545693488,0.4045997163993136,0.12720003952971523,0.13974513708317954
54,0.3946200727274353,0.41786643234830634,-0.013753413,-0.008868088
54.2,0.3773071615514782,0.4006736151589112,-0.15928443,-0.16312637
54.400000000000006,0.3312907146003484,0.352997184505984,-0.29902911,-0.311652326
54.6,0.2588065230383477,0.27719077961483224,-0.422103976,-0.442560769
54.800000000000004,0.16428986242492444,0.17785188295037352,-0.517622834,-0.545310557
55,0.054220799182009546,0.06158509300861444,-0.576284592,-0.610328323
55.2,-0.063322297,-0.063223258,-0.591526908,-0.62962163
55.400000000000006,-0.179261809,-0.186900865,-0.559964191,-0.598636453
55.6,-0.284189678,-0.299322392,-0.481763422,-0.517471161
55.800000000000004,-0.369129365,-0.39084271,-0.36113862,-0.390735447
56,-0.426366964,-0.453141059,-0.206463722,-0.226986111
56.2,-0.450235973,-0.479972039,-0.029690319,-0.038362306
56.400000000000006,-0.43773229,-0.467829789,0.15470391056978722,0.1600416283601032
56.6,-0.388865034,-0.416504583,0.3314395987615695,0.3502021922005122
56.800000000000004,-0.306687825,-0.329508687,0.4852045020075894,0.514142091140857
57,-0.197320173,-0.213502936,0.6010309687705763,0.6383246402342546
57.2,-0.069596102,-0.077569642,0.6672278752330936,0.7117034050894168
57.400000000000006,0.06581339187641094,0.06719334073813604,0.6772278500973197,0.7254873682191936
57.6,0.19743527379318387,0.20839735650950053,0.6294825114200923,0.6761036259735537
57.800000000000004,0.31395388599846796,0.33364514790198524,0.5271134063055861,0.5670777724665774
58,0.40516003737121437,0.4318788652207711,0.37809810322887455,0.407936151594785
58.2,0.46291991651165376,0.49437589127931986,0.19510446901042874,0.21223356790279035
