时间 t (s),浮子位移 x1 (m),振子位移 x2 (m),浮子速度 v1 (m/s),振子速度 v2 (m/s),浮子角位移 θ1,振子角位移 θ2,浮子角速度 w1,振子角速度 w2
31.6,-0.35549681,-0.390849085,0.3980950052414084,0.4194447227871911,0.014926784255426647,0.015384292336979697,-0.038452668,-0.039283983
31.8,-0.257830092,-0.28710595,0.569982695264163,0.6089041684173151,0.0059044408632942065,0.006169884221194528,-0.050647745,-0.051722948
32,-0.131512755,-0.151552256,0.681938236753968,0.7346056583243197,-0.004840418,-0.004806373,-0.05549507,-0.056715125
32.2,0.0100901306721988,0.0015258980451642173,0.7213193782045965,0.7824192573718457,-0.015760223,-0.015974508,-0.052374915,-0.053615104
32.4,0.1518129740077333,0.1557919369762718,0.6829456538453607,0.7461761116368849,-0.025280758,-0.025732827,-0.041641468,-0.042752843
32.6,0.27826583638422586,0.29454738318268986,0.5698054564904937,0.62849301456164,-0.031992433,-0.032640893,-0.024567935,-0.025395525
32.800000000000004,0.37547058323230875,0.4024988381852638,0.39293635350046646,0.4407172826093483,-0.034819427,-0.035593337,-0.003184012,-0.003591203
33,0.43238783234977723,0.46742188051671724,0.17045946906401555,0.20195608439248675,-0.03314752,-0.033953026,0.01997048905532201,0.02007016958931897
33.2,0.4421708823190298,0.4815442993302207,-0.074169597,-0.062743806,-0.026896999,-0.0276304,0.042141767595948176,0.04275766972616413
33.4,0.40300346849391633,0.44249178713923165,-0.314540304,-0.324917047,-0.016534366,-0.01709856,0.060673022208019366,0.06172951566460539
33.6,0.3184168399923387,0.3536787097392636,-0.524071446,-0.555662927,-0.00302286,-0.003343844,0.07329996862480305,0.0746454551065754
33.800000000000004,0.19703289760698794,0.22408057874274595,-0.678915692,-0.728790564,0.012282119548588492,0.012243087562069467,0.07840243933132043,0.07984273831034636
34,0.05174024821694034,0.06738944194832794,-0.760673083,-0.823787968,0.027781786663396653,0.0280237289840536,0.07519150224925807,0.07652988242522468
34.2,-0.101627377,-0.099378892,-0.758603584,-0.828279728,0.04181202612148581,0.04229751786996946,0.06381182909274866,0.06488648155919548
34.4,-0.245981834,-0.257692623,-0.671067405,-0.739674935,0.05283215705097014,0.05349696441526995,0.04534491700864351,0.04605106425022747
34.6,-0.364865262,-0.389540524,-0.505998811,-0.565778174,0.05960372966487579,0.060368702828651005,0.02170524204043174,0.02199809951852988
34.800000000000004,-0.444323633,-0.47947673,-0.280313012,-0.324250495,0.061338004322700805,0.06212033174456469,-0.004566802,-0.00468213
35,-0.474555716,-0.516441855,-0.018268773,-0.04092566,0.05779324195399384,0.05851450467553612,-0.030595542,-0.031083013
35.2,-0.451141065,-0.495143973,0.2510713627284647,0.25287410325151566,0.049308106406613324,0.04989907463076119,-0.053511434,-0.054316891
35.4,-0.375690313,-0.416823841,0.4970269160740472,0.5237569276678382,0.03676544371289726,0.037168820372817296,-0.070798016,-0.071856745
35.6,-0.255821764,-0.289292934,0.6907877085339635,0.7400470665841318,0.021489992724219593,0.021662720639846582,-0.080598047,-0.081830995
35.800000000000004,-0.104442929,-0.126213002,0.8088081620376143,0.8755095154711459,0.005092618958005854,0.0050095132571345916,-0.081935686,-0.08324213
36,0.061603627893643334,0.05432614099406899,0.8357048532023428,0.9125715750490393,-0.010718874,-0.0110602,-0.074825118,-0.076077142
36.2,0.223393537178559,0.23178890310143274,0.7662950978463247,0.8446409625360481,-0.024338107,-0.024911922,-0.060252976,-0.061299678
36.4,0.3620718667934074,0.38552254518704315,0.6065018573001348,0.6772092086677124,-0.034442747,-0.035192435,-0.040041438,-0.040729264
36.6,0.4610583102497326,0.4971687488865064,0.37297634398961504,0.42756128670714844,-0.040139775,-0.040980308,-0.016616764,-0.016821193
36.800000000000004,0.5080472632841156,0.5528751494631856,0.09143640735758776,0.12307664505374817,-0.041057849,-0.041885457,0.007281980612782601,0.007617816623608239
37,0.4965587508286711,0.5450376145254778,-0.206125202,-0.201724721,-0.037378731,-0.038087261,0.028914607634334746,0.029755593974332677
37.2,0.42684177575246884,0.4733508371032851,-0.485064548,-0.509081209,-0.02980713,-0.030306966,0.04583924501763676,0.04705693751747362
37.4,0.3060030718684352,0.34502055492998884,-0.712133547,-0.76239364,-0.019484118,-0.019718714,0.05617332119605137,0.05757228647229788
37.6,0.14732338394850109,0.17408703172009676,-0.859475298,-0.930618585,-0.007853849,-0.007808498,0.05879682826059411,0.060162479964067525
37.800000000000004,-0.03117919,-0.020084277,-0.908082228,-0.992117572,0.003503313217241084,0.0038024325312936477,0.05348229764933194,0.05462786082186137
38,-0.208787496,-0.214986815,-0.850283142,-0.937480614,0.013054912793848194,0.013550085293471768,0.04093482063591465,0.041734876574698036
38.2,-0.364494399,-0.387586434,-0.690927169,-0.770947659,0.019498506741773357,0.020113942959927328,0.02273009955426824,0.023128863822277277
38.400000000000006,-0.479502557,-0.517059769,-0.447087492,-0.510216744,0.0219206783342642,0.022575519954232903,0.0011461714162520702,0.0011453309105478016
38.6,-0.53951485,-0.58732984,-0.146278705,-0.184619397,0.019912600669256174,0.020530131514736805,-0.021099628,-0.021464188
38.800000000000004,-0.536533147,-0.589086442,0.1766313492607035,0.16815903991007142,0.013625722592636893,0.014138154428365355,-0.041180186,-0.0418577
39,-0.469936406,-0.521034283,0.4834713390930261,0.506448766178564,0.0037584462958336925,0.004108629362623075,-0.056511238,-0.057446584
39.2,-0.346691159,-0.390199678,0.7373059645635824,0.789546675202112,-0.008525974,-0.008383496,-0.065078197,-0.066208136
39.400000000000006,-0.180650318,-0.211237832,0.9069203747495589,0.9826568766408579,-0.021740279,-0.021836591,-0.065689639,-0.066931465
39.6,0.008993502050927624,-0.004803979,0.9707009306674157,1.0612137884317674,-0.034254328,-0.034600954,-0.058121909,-0.059361005
